"Headquarters","Notes","Name"
"Taipei","Tires","Nankang Rubber Tire"
"Hsinchu","","Nuvoton"
"Taipei","Electronics manufacturing services","Pegatron Corporation"
"Hsinchu","","Phalanx Biotech Group"
"Hsinchu","Computer memory","Phison"
"Taipei","Image scanners, security devices","Plustek Inc."
"Taichung","Footwear","Pou Chen Corporation"
"Hsinchu","","Powerchip Semiconductor"
"Hsinchu","Computer and peripheral equipment","Promise Technology"
"New Taipei City","Network storage","QNAP Systems, Inc."
"Taoyuan","Computer and peripheral equipment","Quanta Computer"
"Hsinchu","","Ralink"
"Hsinchu","","Realtek"
"New Taipei City","Construction, banking, telecommunications, media","Rebar"
"Taipei","Hotels","Regent International Hotels"
"Hsinchu","Optoelectronics","Ritek"
"Taipei","Music record labels","Rock Records"
"Taichung","Video games","Runewaker Entertainment"
"New Taipei City","Electronics","Sangean"
"Taipei","Computer and peripheral equipment","Seventeam"
"Taipei","Banking, financial and related services","Shanghai Commercial and Savings Bank"
"Wujie","Clothing","Sheico"
"Taipei","Luxury goods","Shiatzy Chen"
"Taipei","Electric machinery","Shihlin Electric"
"Taipei","Computer and peripheral equipment","Shuttle Inc."
"Hsinchu","","Silicon Integrated Systems"
"Taipei","Computer hardware","Silicon Power"
"New Taipei City","Computer and peripheral equipment","SilverStone Technology"
"Taipei","Computer graphics","SPARKLE Computer Co., Ltd."
"New Taipei City","GSM fixed wireless phones","SunComm Technology"
"Hsinchu","Automobiles, motorcycles, motorized scooters","SYM Motors"
"Taipei","Network storage","Synology Inc."
"Taipei","Cement","Taiwan Cement Corporation"
"Taipei","","Taiwan Cooperative Bank"
"Taipei","Chemical","Taiwan Fertilizer"
"Taipei","Banking, financial and related services","Taiwan Financial Holdings Group"
"Kaohsiung","Shipping","Taiwan International Ports Corporation"
"New Taipei City","Communications and Internet","Taiwan Mobile"
"New Taipei City","State-owned electrical","Taiwan Power Company"
"Tainan","Sugar, cosmetics, gas stations","Taiwan Sugar Corporation"
"Taipei","Alcohol and tobacco products","Taiwan Tobacco and Liquor Corporation"
"Taichung","Water supply","Taiwan Water Corporation"
"Kaohsiung","Iron and steel","Tang Eng Iron Works"
"Taipei","Electronics","Tatung Company"
"Taipei","Electric machinery","TECO Electric and Machinery (TECO)"
"Hsinchu","Communications and Internet","Tecom"
"Taipei","Optoelectronics","Tekom Technologies"
"Taipei","Hardware storage","Thecus"
"New Taipei City","Computer cases","Thermaltake"
"Kaohsiung","Electronic parts/components","Thinking Electronic"
"Taichung","Model vehicles","Thunder Tiger"
"Taipei","Publishing","Tong Li Publishing"
"Taipei","Shipping and transportation","TransAsia Airways"
"Taipei","","Transcend Information"
"Hsinchu","","TSMC"
"Taipei","Sound, photo, movie editing software","Ulead Systems"
"Taipei","Computer hardware","UMAX Technologies"
"Taipei","Commercial airline","Uni Air"
"New Taipei City","Food","Uni-President Enterprises Corporation"
"New Taipei City","Airsoft gun","Unicorn Hobby Corporation"
"Hsinchu","","United Microelectronics Corporation"
"New Taipei City","Gaming software","UserJoy Technology"
"New Taipei City","","VIA Technologies"
"New Taipei City","Telecommunications","Vibo Telecom"
"Hsinchu","Semiconductor foundry","VIS"
"Taipei","Shipping and transportation","Wan Hai Lines"
"Taipei","Animation production","Wang Film Productions"
"Taipei","Food","Want Want"
"Taipei","Food","Wei-Chuan Food Corporation"
"Taichung","","Winbond"
"Taipei","Computer and peripheral equipment","Wistron Corporation"
"Taipei","GPUs, video cards","XGI Technology"
"New Taipei City","Electronic parts/components","Yageo"
"Keelung","Shipping and transportation","Yang Ming Marine Transport Corporation"
"Taoyuan","Electronics","Yeh-Chiang Technology"
"Miaoli County","Automobiles","Yulon"
"Hsinchu","Communications and Internet","ZyXEL"
