id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
43886,25399,fresnillo,,,,5510,,,,,,,,,httpwww.fresnilloplc.com,fresnillo,mexico,$8.28 b,,,,,,,,$10.70,,,
80812,77141,t allen engineering services trustees limited,,,,,,,,,,,,,,t allen engineering services trustees limited,,,,,,,,,,,,,
165642,15097,green plains,usa,$1.84 b,,,,,,,,$31.06,,,,green plains,usa,,,,,,,,,32,,,
83420,12329,guotai junan securities,china,,,,,,,,,$2.12,,,,guotai junan securities,china,,,,,,,,,2,,,
82667,71084,china yangtze power,china,,,,,,,,,$3.13,,,,china yangtze power,china,$83.05 b,,,,,,,,,,,
181081,115170,toda corp,,¥233.84 billion,,5568,,,seisuke otani,,,,,,,toda corp,japan,$1.64 b,,,,,,,,$5.33,,,
164197,123347,endava,uk,$4.91 b,,,,,,,,$86.42,,,,endava,,,,6624,,,,,,,,,
157411,89386,nj holdings,japan,$24.54 m,,,,,,,,$4.64,,,,nj holdings,japan,,,,,,,,,$5.14,,,
63067,51393,"apria, inc.",usa,,not found,,medical equipment,,not found,not found,,,,,,"apria, inc.",,,,6050,,,,,,,,,
157886,112383,mangalam cement,india,$0.10 b,,,,,,,,$3.82,,,,mangalam cement,india,$0.10 b,,,,,,,,$3.69,,,
155630,66107,restaurant brands international,canada,$29.55 b,,,,,,,,$66.16,,,,restaurant brands international,,,2014.0,,hotels restaurants leisure,,,$5.7b,,,,,
70811,31732,hdfc bank,india,$98.28 b,,,,,,,,,,,,hdfc bank,,,,161027,,,sashidhar jagdishan,,,,,,httpswww.hdfcbank.com
134534,86061,flsmidth,,,1882 141 yrs old,,industrial machinery,,,,,,,,,flsmidth,denmark,,,,,,,,,$40.22,,,
48007,6406,hulic reit,,,,,,,,,,,,,httpswww.hulicreit.co.jpen,hulic reit,japan,2.246 billion usd,,,,,,,,,,,
115948,3873,moelis & company,usa,$3.12 b,,,,,,,,$45.35,,,,moelis & company,usa,3.780 billion usd,,,,,,,,,,,
114999,59992,middlesex water company,usa,$1.42 b,,,,,,,,$80.64,,,,middlesex water company,usa,,1896,,utilities water utilities,,not found,143 million usd,,,,,
110868,26301,nornickel,russia,$40.20 b,,,,,,,,$261.66,,,,nornickel,russia,$40.20 b,,,,,,,,$261.66,,,
89472,21321,games operators,poland,,,,,,,,,$3.22,,,,games operators,poland,$10.73 m,,,,,,,,$1.95,,,
102839,88217,regal hotels international,hong kong,$0.31 b,,,,,,,,$0.35,,,,regal hotels international,hong kong,,,,,,,,,$0.41,,,
94607,94606,valhi,,$0.69 b,,2.847,,,,$2.50 b,,$24.64,,,,valhi,,$0.69 b,,2.847,,,,$2.50 b,,$24.64,,,
132757,58557,unicaja banco,spain,,2011,7200,banking,,manuel menendez menendez,$1.7b,,,,,,unicaja banco,spain,,1991,,financial services banking services,,not found,not found,,,,,
150987,71077,baidu,china,53.37 billion usd,2000.0,41000,,,robin li,,,,,,,baidu,china,$32.49 b,,,,,,,,,,,
62215,50543,les nouveaux constructeurs sa,france,,not found,,real estate construction residential properties,,not found,not found,,,,,,les nouveaux constructeurs sa,,,,,,,,,,,,,
115722,5796,arcosa,usa,$2.65 b,,,,,,,,$54.89,,,,arcosa,usa,2.460 billion usd,,,,,,,,,,,
152921,24494,sprout social,usa,$3.43 b,,,,,,,,$62.57,,,,sprout social,usa,$3.07 b,,,,,,,,$56.08,,,
66780,53499,siemens healthineers ag,,,,employees 66800,,,ceo dr. bernhard montag,,,,,,,siemens healthineers ag,germany,,2015,,healthcare medical equipment healthcare products technology health care diagnostics,,ralf thomas,19833 million usd,,,,,
156877,15170,zug estates holding,switzerland,$1.87 b,,,,,,,,$1995,,,,zug estates holding,switzerland,,,,,,,,,1858,,,
121677,693,dollar tree,,,,199327,,,michael a. witynski,,,,,,,dollar tree,usa,20.451 billion usd,,,,,macon f. brock jr.,,,,,,
101077,86522,sanofi india limited,india,$1.61 b,,,,,,,,$69.98,,,,sanofi india limited,india,,,,,,,,,$69.65,,,
155393,745,ball corporation,usa,$18.02 b,,,,,,,,$57.41,,,,ball corporation,usa,31.341 billion usd,,,,,r. david hoover,,,,,,
65805,32102,republic services,,,1998.0,,business services supplies,,,$11.3b,,,,,,republic services,,,,35000,,,jon vander ark,,,,,,httpswww.republicservices.com
19794,1327,grasim industries,india,$14.48 b,,,,,,,,$22.00,,,,grasim industries,india,13.647 billion usd,,,,,,,,,,,
150031,96524,valero energy corporation,,$41.27 billion,january 1 1980,9794,,,mr. joseph w. gorder,,,,,,,valero energy corporation,united states,$41.27 b,,,oil gas refining marketing,energy,,,vlo,,,,
109472,41838,cigna corporation,united states,$84.67 b,1982,72226,healthcare plans,healthcare,mr. david michael cordani,,ci,,,,,cigna corporation,,,,73800,,,david cordani,,,,,,httpswww.cigna.com
48918,7315,vector group,,,,500,,,,,,,,,httpswww.vectorgroupltd.com,vector group,usa,2.312 billion usd,,,,,,,,,,,
131904,64372,china minsheng bank,china,,1996,60232,banking,,wan chun zheng,$50.1b,,,,,,china minsheng bank,china,,,,,,,$50.08 b,,,,,
106180,100741,itau corpbanca,,$2.1b,,3811,financial services,,,$2.8b,,,,5537 ave. presidente riesco las condes,ir.itau.cl,itau corpbanca,chile,$2.07 b,,,,,,,,$3.20,,,
98717,25423,fisher & paykel healthcare,new zealand,$8.52 b,,,,,,,,$14.76,,,,fisher & paykel healthcare,new zealand,$8.48 b,,,,,,,,$14.68,,,
14718,4691,corvel corporation,usa,,,,,,,,,144,,,,corvel corporation,usa,2.936 billion usd,,,,,,,,,,,
153860,13257,ritchie bros. auctioneers,canada,$6.60 b,,,,,,,,$59.54,,,,ritchie bros. auctioneers,canada,,,,,,,,,59,,,
67113,53887,otis worldwide corporation,,,founded 20 september 1853,employees 70000,,,ceo ms. judith f. marks,,,,,,,otis worldwide corporation,usa,,1853,,industries heavy machinery industry machinery building products and equipment,,judy marks,14298 million usd,,,,,
59098,37417,jiangsu yulong steel pipe,china,,not found,,basic materials iron and steel metals,,not found,not found,,,,,,jiangsu yulong steel pipe,,,,,,,,,,,,,httpwww.yulongsteelpipe.comen
162616,97931,marubeni,japan,$20.42 b,,,,,,,,$11.95,,,,marubeni,japan,$19.94 b,,,,,,,,$11.67,,,
110792,82851,ecolab,usa,$43.11 b,,,,,,,,$151.36,,,,ecolab,usa,,,,,,,,,$154.43,,,
153304,72532,kinnevik,sweden,$4.50 b,,,,,,,,$16.38,,,,kinnevik,sweden,$5.41 b,,,,,,,,,,,
31732,19527,hdfc bank,,,,161027,,,sashidhar jagdishan,,,,,,httpswww.hdfcbank.com,hdfc bank,india,$125.58 b,,,,,,,,$67.57,,,
103014,17273,alpine income property trust,usa,$0.25 b,,,,,,,,$19.13,,,,alpine income property trust,usa,,,,,,,,,19,,,
124853,35466,apellis pharmaceuticals,,,,476,,,,,,,,,,apellis pharmaceuticals,,,,476,,,,,,,,,httpswww.apellis.com
150107,64060,baker hughes company,,$38.39 billion,1907,54000,,,mr. lorenzo simonelli,,,,,,,baker hughes company,,,,,,,,,,,,,
101098,6428,minera valparaiso,chile,$1.59 b,,,,,,,,$12.75,,,,minera valparaiso,chile,2.438 billion usd,,,,,,,,,,,
101265,60757,osi systems,usa,$1.40 b,,,,,,,,$83.51,,,,osi systems,usa,,not found,,technology electronics semiconductors capital goods,,not found,1183 million usd,,,,,
60712,7438,salcef group s.p.a.,italy,,not found,,industries infrastructure railway vehicles and railway components,,not found,not found,,,,,,salcef group s.p.a.,italy,1.232 billion usd,,,,,,,,,,,
97702,11942,generali,italy,$28.93 b,,,,,,,,$18.35,,,,generali,italy,,,,,,,,,18,,,
131893,82837,aflac,united states,,1955,12447,insurance,,daniel p. amos,$22.1b,,,,,,aflac,usa,,,,,,,,,$72.85,,,
55885,52808,aroundtown sa,luxembourg,,2004,,real estate financial services property investments,,not found,1085 million usd,,,,,,aroundtown sa,luxembourg,,,500,,real estate,,1085 million usd,,,,,
114552,94425,schnitzer steel,usa,$0.93 b,,,,,,,,$34.07,,,,schnitzer steel,,$0.94 b,,3.471,,,,$3.28 b,,$34.39,,,
152890,99721,fraport,germany,$5.04 b,,,,,,,,$54.63,,,,fraport,germany,$4.12 b,,,,,,,,$44.63,,,
37371,5777,medifast,,,,984,,,,,,,,,httpswww.medifast1.com,medifast,usa,2.714 billion usd,,,,,,,,,,,
149097,144104,justworks,united states,,,,internet software services,,,,,,new york,,,justworks,united states,,2012,,internet software services,,,,,,new york,,
167528,22237,autolus therapeutics,uk,$0.34 b,,,,,,,,$2.00,,,,autolus therapeutics,uk,$0.27 b,,,,,,,,$3.00,,,
63614,11592,the saudi national bank,,,,,,,,,,,,,,the saudi national bank,s. arabia,,,,,,,,,13,,,
181447,35705,fibra uno,,mx$90.97 billion,,not found,,,mr. andre elmann arazi,,,,,,,fibra uno,,,,277000,,,,,,,,,httpsfuno.mx
163077,43473,aecom,usa,$12.02 b,,,,,,,,$86.75,,,,aecom,,,,51000,,,,,,,,,httpswww.aecom.com
170735,67298,"gartner, inc.",united states,$25.03 b,,,information technology services,technology,,,it,,,,,"gartner, inc.",,,founded 1979,employees 16600,,,ceo mr. eugene a. hall,,,,,,
97722,64539,nokia,finland,$27.93 b,,,,,,,,$4.99,,,,nokia,finland,,,,,,,$26.24 b,,,,,
110460,82497,pfizer,usa,$285.77 b,,,,,,,,$50.91,,,,pfizer,usa,,,,,,,,,$47.85,,,
122195,32814,pao severstal,,,,52200,,,aleksandr shevelev,,,,,,,pao severstal,,,,52200,,,aleksandr shevelev,,,,,,httpswww.severstal.com
162117,26194,bayan resources,indonesia,$47.72 b,,,,,,,,$1.43,,,,bayan resources,indonesia,$31.04 b,,,,,,,,$0.93,,,
165956,86671,ero copper,canada,$1.46 b,,,,,,,,$16.05,,,,ero copper,canada,,,,,,,,,$15.57,,,
121257,53556,kddi corporation,,,,47320,,,takashi tanaka,,,,,,,kddi corporation,japan,,1984,,communication services telecom internet providers fixed line service mobile services fixed line service television services,,takashi tanaka,39745 million usd,,,,,
170198,90355,"the pnc financial services group, inc.",united states,$77.10 b,,,banks,financials,,,pnc,,,,,"the pnc financial services group, inc.",united states,,,,,financials,,,pnc,,,,
145278,31770,csl,,,,,,,,,,,,,,csl,,,,25000,,,paul perreault,,,,,,httpswww.csl.com
24997,13644,obayashi,japan,$5.25 b,,,,,,,,$7.34,,,,obayashi,japan,,,,,,,,,7,,,
58355,5088,thermax,india,,1980,,industries industry machinery,,not found,759 million usd,,,,,,thermax,india,2.350 billion usd,,,,,,,,,,,
66995,387,biontech se,,,founded 2008,employees 2800,,,ceo prof. ugur sahin m.d.,,,,,,,biontech se,germany,79.834 billion usd,,,,,ugur sahin,,,,,,
150955,121323,metlife,usa,56.58 billion usd,1868.0,43000,,,michel a. khalaf,,,,,,,metlife,,,,43000,,,michel a. khalaf,,,,,,
184200,170379,banco bradesco sa,,r$217.62 billion,,85264,,,mr. octavio de lazari jr. junior,,,,,,,banco bradesco sa,brazil,$46.71 b,,,banks,financials,,,bbdc3,,,,
133058,66518,oji holdings,japan,,1949,36034,materials,,hiroyuki isono,$13.1b,,,,,,oji holdings,,,1949.0,,materials,,,$13.1b,,,,,
121132,18559,airbus,,,,125888,,,guillaume faury,,,,,,,airbus,netherlands,us$97.41 billion,,121056,aerospace defense,industrials,mr. guillaume m.j.d faury,,,,,,
65158,64158,volkswagen group,,,1937.0,,consumer durables,,,$295.7b,,,,,,volkswagen group,germany,,,,,,,$295.73 b,,,,,
131988,31780,altria group,united states,,1919,6000,food drink tobacco,,not found,$21.1b,,,,,,altria group,,,,6000,,,billy gifford,,,,,,httpwww.altria.com
134760,130643,finolex cables,,,1956 67 yrs old,,building material,,,,,,,,,finolex cables,,,,,,,,,,,,,
135760,64306,blackrock,,,2004 19 yrs old,,investment banking venture capital private equity,,,,,,,,,blackrock,united states,,,,,,,$20.3 b,,,,,
13915,2802,mainfreight,new zealand,,,,,,,,,41,,,,mainfreight,new zealand,7.044 billion usd,,,,,,,,,,,
115131,95593,billtrust (btrs),usa,$1.59 b,,,,,,,,$9.49,,,,billtrust (btrs),,$1.59 b,,687.0,,,,$0.18 b,,$9.49,,,
110530,26491,volkswagen,germany,$87.16 b,,,,,,,,$146.40,,,,volkswagen,germany,$84.73 b,,,,,,,,$142.79,,,
