id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
102146,7031,atn international,usa,$0.66 b,,,,,,,,$42.38,,,,hni corporation,usa,1.662 billion usd,,,,,,,,,,,
97357,87141,adani enterprises,india,$55.94 b,,,,,,,,$49.07,,,,graphite india,india,,,,,,,,,$4.66,,,
89474,55056,precipio,usa,,,,,,,,,$0.77,,,,bruker corporation,usa,,1960,,healthcare biotechnology medical equipment technology capital goods,,not found,2417 million usd,,,,,
148957,144492,alphasense,united states,,,,artificial intelligence,,,,,,new york,,,verkada,united states,,2016,,cybersecurity,,,,,,san mateo,,
85647,3976,wsfs financial,usa,,,,,,,,,$48.69,,,,hudson pacific properties,usa,4.051 billion usd,,,,,,,,,,,
65049,2710,china national nuclear power,china,,,,,,,$9.6 b,,,,,,china greatwall technology group,china,6.470 billion usd,,,,,,,,,,,
119850,18830,"aemetis, inc.",united states,,,,,,,,,,cupertino,20400 stevens creek blvd ste 700,,"avis budget group, inc.",united states,$18.12 billion,2006,16000,rental leasing services,industrials,mr. joseph a. ferraro,us$9.172 billion 2019,,,,,
59162,23225,overstock.com,usa,,1997,,consumer cyclical consumer services retail internet or mobile app based business ecommerce,,not found,2756 million usd,,,,,,puretech health,usa,$0.95 b,,,,,,,,$33.00,,,
166741,112911,iteos therapeutics,usa,$0.77 b,,,,,,,,$21.70,,,,sellas life sciences,usa,$67.32 m,,,,,,,,$3.27,,,
166785,104020,maverix metals,canada,$0.74 b,,,,,,,,$5.00,,,,orosur mining,canada,$15.28 m,,,,,,,,$0.08000,,,
110966,99305,otis worldwide,usa,$33.22 b,,,,,,,,$79.75,,,,lincoln national corporation,usa,$5.47 b,,,,,,,,$32.38,,,
157604,19522,isoray,usa,$39.96 m,,,,,,,,$0.28,,,,oracle,usa,$212.40 b,,,,,,,,$78.78,,,
99182,86243,ashland,usa,$5.92 b,,,,,,,,$109.24,,,,prokidney,usa,,,,,,,,,$8.43,,,
88940,55346,relmada therapeutics,usa,,,,,,,,,$4.12,,,,levi strauss & co,usa,,1853,,consumer cyclical readymade clothing clothing retail apparels and accessories,,not found,5763 million usd,,,,,
118109,68425,renovo bioeconomy spa,italy,,,,,,,,,,mantova,via pietro verri 1,,aferetica,italy,,2013,,,health,,,,,,,
29376,178,hj tiefbau,germany,,2011,45,construction,,,8.3,,,,,,audi ag,germany,82.150 billion usd,,,,,,,,,,,
104058,15916,aileron therapeutics,usa,$11.98 m,,,,,,,,$2.64,,,,innovage,usa,,,,,,,,,7,,,
116174,12165,acom,japan,$3.72 b,,,,,,,,$2.38,,,,komatsu,japan,,,,,,,,,21,,,
114527,11837,hireright,usa,$0.90 b,,,,,,,,$11.35,,,,electronic arts,usa,,,,,,,,,124,,,
158946,54304,smartrent,usa,$0.56 b,,,,,,,,$2.84,,,,jm family enterprises,usa,,1968,,not found,,brent burns,16300 million usd,,,,,
149377,8214,china cloud,china,,,,hardware,,,,,,wuxi,,,medbanks,china,7693,,,,,,,,,,,
103846,13502,maia biotechnology,usa,$36.44 m,,,,,,,,$3.33,,,,exelixis,usa,,,,,,,,,17,,,
158993,88590,solo brands,usa,$0.26 b,,,,,,,,$4.22,,,,planet13,usa,,,,,,,,,$1.00,,,
143587,102956,chehaoduo,china,,2015,,ecommerce directtoconsumer,,,,,,beijing,,,friendtimes,china,$0.27 b,,,,,,,,$0.13,,,
162869,56075,mgm resorts,usa,$14.99 b,,,,,,,,$39.05,,,,cadence bancorporation,usa,,1885,,financial services banking services,,not found,1183 million usd,,,,,
83220,57403,the trade desk,usa,,,,,,,,,$47.03,,,,progyny,usa,,2008,,healthcare healthcare service healthcare technology and information,,not found,500 million usd,,,,,
101161,86914,knowles,usa,$1.51 b,,,,,,,,$16.71,,,,orion engineered carbons,usa,,,,,,,,,$19.75,,,
165435,56334,dr lal pathlabs,india,$2.14 b,,,,,,,,$25.92,,,,vodafone idea limited,india,,2018,,telecom mobile services internet providers fixed line service,,not found,4819 million usd,,,,,
157989,21672,tattooed chef,usa,$0.12 b,,,,,,,,$1.50,,,,flexsteel industries,usa,$79.15 m,,,,,,,,$15.01,,,
112952,112026,lmp automotive holdings,usa,$81.7 m,,,,,,,,$7.49,,,,pediatrix medical group,usa,$1.26 b,,,,,,,,$15.20,,,
