id_1,id_2,l_name,l_country,l_market cap,l_founded year,l_employees,l_industry,l_sector,l_ceo,l_revenue,l_stock,l_share price,l_city,l_address,l_website,r_name,r_country,r_market cap,r_founded year,r_employees,r_industry,r_sector,r_ceo,r_revenue,r_stock,r_share price,r_city,r_address,r_website
154454,136917,park24,,,,5500,,,,,,,,,httpswww.park24.co.jp,park24,japan,3.101 billion usd,,,,,,,,,,,
104750,70483,nexgen energy,canada,,,,,,,,,$4.68,,,,nexgen energy,,,,,,,,,,,,,httpswww.nexgenenergy.ca
178160,23768,kec international,india,$1.53 b,,,,,,,,$5.96,,,,kec international,india,$1.52 b,,,,,,,,$5.88,,,
175966,26224,wejo group,uk,$64.82 m,,,,,,,,$0.60,,,,wejo group,uk,$85.24 m,,,,,,,,$0.79,,,
119711,101586,te connectivity,switzerland,,2007,,technology electronics sensors networking products solutions network hardware and software power systems optical fiber cables and wires semiconductors consumer non durables software and it power generation capital goods,,tom lynch,14293 million usd,,,,,,te connectivity,switzerland,,,,,,,,,$124.24,,,
170678,33192,r1 rcm,usa,$4.10 b,,,,,,,,$9.86,,,,r1 rcm,usa,$5.69 b,,,,,,,,$13.67,,,
128511,48289,energijos skirstymo operatorius ab,lithuania,,not found,,utilities electric utilities gas utilities,,not found,not found,,,,,,energijos skirstymo operatorius ab,,,,,,,,,,,,,
88938,26729,walmart,,$429.05 billion,,2300000,,,mr. c. douglas mcmillon,,,,,,,walmart,united states,$431.64 b,,,,,,,,,,,
103010,33518,treasury wine estates,australia,,,,,,,,,$9.90,,,,treasury wine estates,australia,$7.12 b,,,,,,,,$9.87,,,
165789,149704,sumitomo metal mining,japan,$9.58 b,,,,,,,,$34.90,,,,sumitomo metal mining,,,,6873,,,,,,,,,httpwww.smm.co.jp
172155,158930,sun hung kai properties,hong kong,$36.57 b,,,,,,,,$12.62,,,,sun hung kai properties,hong kong,,,,,,,$10.26 b,,,,,
178984,104291,wienerberger,,$3.05 b,,,,,,,,$27.89,,,,wienerberger,austria,,,,,,,,,$27.95,,,
179498,6753,sanofi,france,,,,,,,,,48,,,,sanofi,france,126.37 billion usd,1973.0,95442,,,paul hudson,,,,,,
184394,106002,sparc,india,,,,,,,,,3,,,,sparc,india,,,,,,,,,$2.54,,,
