,table_1,table_2,column_table_1,column_table_2,match_value
0,Gren-disfold.com.json,MalPatSaj-disfold.com.json,industry,Industry,0.9352676
1,Gren-disfold.com.json,MalPatSaj-disfold.com.json,country,Country,0.9333069
2,Gren-disfold.com.json,MalPatSaj-disfold.com.json,sector,Sector,0.931101
3,Gren-disfold.com.json,MalPatSaj-disfold.com.json,stock,Stock,0.9279007
4,Gren-disfold.com.json,MalPatSaj-disfold.com.json,name,Name,0.9257439
5,Gren-disfold.com.json,MalPatSaj-disfold.com.json,market_capitalization_USD,MarketCap,0.4048583
