"Max depth (ft)","Nearby town","Water clarity (ft)","Littoral zone (acres)","Size (acres)","Lake","County"
"64","Jenkins","10.5","142","334","Bertha","Crow Wing"
"27","Lake Park","12","120","226","Beseau","Becker"
"35","Bemidji","13","2106","3533","Big","Beltrami"
"25","Sawyer","13.5","440","507","Big","Carlton"
"22","Ely","7","1514","1789","Big","St. Louis"
"30","Hoyt Lakes","9","379","805","Big","St. Louis"
"48","Big Lake","9.5","110","251","Big","Sherburne"
"42","Richmond","4.8","227","403","Big","Stearns"
"21","Cushing","7.2","166","277","Big","Todd"
"66","Stillwater","9","131","464","Big Carnelian","Washington"
"31","Marble","17","61","122","Big Diamond","Itasca"
"20","Marcell","10","152","249","Big Dick","Itasca"
"12","Fairhaven","6","24","24","Big Eye Slough","Stearns"
"70","Cold Spring","14.8","201","558","Big Fish","Stearns"
"42","Marcell","14.5","202","238","Big Island","Itasca"
"15","Lake Lillian","2.8","2692","2692","Big Kandiyohi","Kandiyohi"
"14","Aitkin","7","23","23","Big Logan","Aitkin"
"60","Forest Lake","9","1152","1756","Big Marine","Washington"
"33","Dent","13.6","295","489","Big McDonald 2","Otter Tail"
"71","Pennington","13","241","568","Big Moose","Beltrami"
"23","Ely","n/a","1012","1032","Big Moose","St. Louis"
"65","Marcell","15.5","84","179","Big Ole","Itasca"
"25","Finlayson","9.5","135","387","Big Pine","Pine"
"23","Backus","7.2","901","918","Big Portage","Cass"
"337","Cuyuna","16","242","638","Big Rabbit (East)","Crow Wing"
"50","Cuyuna","13","165","531","Big Rabbit (West)","Crow Wing"
"5","Remer","5","2832","2832","Big Rice","Cass"
"5","Ely","2","420","420","Big Rice","St. Louis"
"9","Ponsford","6.5","917","917","Big Rush","Becker"
"135","Park Rapids","25","465","1635","Big Sand","Hubbard"
"84","McGregor","5","3067","6526","Big Sandy","Aitkin"
"38","Avon","10","150","440","Big Spunk","Stearns"
"16","Ortonville","14.75","12484","12610","Big Stone","Big Stone"
"24","Park Rapids","4","223","319","Big Stoney","Hubbard"
"36","Nashwauk","5","138","230","Big Sucker","Itasca"
"32","Kingston","4.1","338","628","Big Swan","Meeker"
"45","Burtrum","5","404","918","Big Swan","Todd"
"95","Talmoon","13","56","232","Big Too Much","Itasca"
"128","Cross Lake","11","369","1342","Big Trout","Crow Wing"
"123","Avon","10","46","227","Big Watab","Stearns"
"57","Bemidji","9.5","390","1094","Big Wolf","Beltrami"
"10","Bingham Lake","6","259","259","Bingham","Cottonwood"
"8","Aitkin","3","421","421","Birch","Aitkin"
"25","Callaway","5","N/A","233","Birch","Becker"
"45","Hackensack","7.7","755","1284","Birch","Cass"
"30","Remer","10","51","255","Birch","Cass"
"34","Ely","9","342","711","Birch","Lake"
"18","Big Lake","2.5","117","151","Birch","Sherburne"
"25","Babbit","4","1060","5628","Birch","St. Louis"
"81","Grey Eagle","4.2","642","2108","Birch (Big)","Todd"
"89","Grey Eagle","4.5","277","838","Birch (Little)","Todd"
"200","Ridge","25","105","105","Black Pit","St Louis"
"42","Turtle River","N/A","125","246","Black","Beltrami"
"18","Ball Bluff","10.5","170","191.8","Blackface","Aitkin"
"19","New Munich","3.5","112","98.16","Black oak","Stearns"
"28","Blackduck","3","1374","2596","Blackduck","Beltrami"
"30","Orr","10.5","498","1185","Blackduck","St. Louis"
"67","Longville","13.7","336","722","Blackwater","Cass"
"72","Cohasset","9.4","633","674","Blackwater","Itasca"
"42","Holmes City","11","199","307","Blackwell","Douglas"
"64","Ottertail","9","1002","1268","Blanche","Otter Tail"
"38","Grand Rapids","15","366","449","Blandin","Itasca"
"17","Aitkin","6","359","370","Blind","Aitkin"
"23","Urbank","5.8","132","263","Block","Otter Tail"
"9","Currie","1","248","248","Bloody","Murray"
"84","Park Rapids","27","81","324","Blue","Hubbard"
"31","Princeton","5","134","309","Blue","Isanti"
"15","Menahga","4.5","522","522","Blueberry","Wadena"
"28","Zim","11.5","23","23","Bluegill","St Louis"
"120","Grand Rapids","14.5","72","364","Bluewater","Itasca"
"26","Richville","13.5","93","176","Boedigheimer","Otter Tail"
"30","Forest Lake","9.5","124","210","Bone","Washington"
"109","Two Inlets","16","81","348","Boot","Becker"
"30","Bemidji","8.5","203","267","Boot","Beltrami"
"18.5","Graceville","5.3","36","44.4","Botkers","Big Stone"
"84","Garrison","9","304","957","Borden","Crow Wing"
"17","Grand Marais","N/A","133","136","Bouder","Cook"
"18","Duluth","5.8 (5-6.5)","3206.59","3259.66","Boulder","Saint Louis"
"28","Dorset","9.5","180","360","Boulder","Hubbard"
"32","Deer River","6","4736","9220","Bowstring","Itasca"
"45","Boy River","6.5","2007","3186","Boy","Cass"
"26","Lake Park","5.5","204","310","Boyer","Becker"
"18","Russell","5.2","20","29.96","Brawner","Lyon"
"43","Chaska","10.272","6","17","Brickyard Clayhole","Carver"
"10","St Augusta","5","84","84","Bridge Slough","Stearns"
"25","Clear Lake","3","170","377","Briggs","Sherburne"
"44","Alexandria","11.5","150","289","Brophy","Douglas"
"8","Rockville","4","320","320","Brown House Slough","Stearns"
"19","Ely","12","170","205","Browns","Lake"
"8","South Haven","4","1","1","Brown Pit","Wright"
"78","Grand Marais","15","1431","4617","Brule","Cook"
"45","Eden Prairie","5.4","64","161","Bryant","Hennepin"
"42","Ottertail","11","835","929","Buchanan","Otter Tail"
"40","Cass Lake","16","68","271","Buck","Beltrami"
"31","Nashwauk","8","180","492","Buck","Itasca"
"80","","19","48","48","Buckeye Pit",""
"38","Richwood","N/A","192","376","Buffalo","Becker"
"8.5","Dovray","1.3","124","124","Buffalo","Murray"
"26","Ely","10","43","62","Bullfrog","Lake"
"1,3","St Augusta","1,3","2,2","2,2","Bump Slough 1,2","Stearns"
"12","Clearwater","3.808","109","109","Bunt","Stearns"
"35","Marcell","10.5","127","182","Burnt Shanty","Itasca"
"126","Tower","20","1478","7139","Burntside","St. Louis"
"95","Eveleth","18","20","20","Burns Pit","St. Louis"
"16","Kandiyohi","8","27","27","Burr Oak","Kandiyohi"
"38","Marcell","12","227","291","Burrows","Itasca"
"28","Bloomington","16.8","110","172","Bush","Hennepin"
"44","Holyoke","n/a","71","237","Busties","Itasca"
"12","Dassel","4.5","83","83","Butternut","Meeker"
"18","Togo","11","68","81.4","Button Box","Itasca"
"50","Cannon Falls","2.6","976","1435","Byllesby","Dakota"
"8","Maine Prairie","4","2","2","Cabana Slough","Stearns"
"18","Fairbanks","12","230","325","Cadotte","St. Louis"
"82","Minneapolis","15","123","401","Calhoun","Hennepin"
"13","Spicer","5.7","618","618","Calhoun","Kandiyohi"
"9","Erskine","n/a","224","224","Cameron","Polk"
"27","Cotton","6.5","81","162","Cameron","St. Louis"
"42","Pine Center","6","206","478","Camp","Crow Wing"
"26","Swift Falls","3.83","97","203","Camp","Swift"
"25","Puposky","N/A","222","475","Campbell","Beltrami"
"12+","Buhl","n/a","10","10","Candle","St. Louis"
"311","Coleraine","29","130","40.23","Canisteo Pit","Itasca"
"15","Faribault","2","1591","1591","Cannon","Rice"
"35","","2.656","57","57","Cannon River Reservoir",""
"100","Biwabik","13","13","250","Canton Pit","St. Louis"
"32","Bigfork","14.208","30","30","Captain Luke","Itasca"
"12","","8.224","17","17","Capote","Lake"
"13.5","Hibbing","5","139","139","Carey","St. Louis"
"30","Lutsen","8.5","439","728","Caribou","Cook"
"26","Grand Marais","7","204","255","Caribou","Cook"
"152","Marcell","28","45","240","Caribou","Itasca"
"163","Alexandria","11","910","2520","Carlos","Douglas"
"155","Keewatin","17.344","89","89","Carlz Pit","Itasca"
"16","Maine Prairie","7","24","24","Carnelian Island Slough","Stearns"
"39","Kimball","11","63","164","Carnelian","Stearns"
"10","Maine Prairie","6","18","18","Carnelian Slough","Stearns"
"22","Watkins","2.88","34","34","Carter","Stearns"
"36","Woodbury","n/a","n/a","49","Carver","Washington"
"17","Lutsen","8","415","415","Cascade","Cook"
"74","Rochester","27","78","78","Cascade","Olmsted"
"120","Cass Lake","N/A","3119","15596","Cass","Beltrami"
"3","St Augusta","3","420","420","Cattail Slough","Stearns"
"12","Lincoln","1","25","25","Cass County Lake","Todd"
"6","South Haven","5","4","4","Cattail Slough","Wright"
"48","Cohasset","14","44","67","Cavanaugh","Itasca"
"9","Oak Knoll","3","13","13","Cavanaugh","Hennepin"
"18","McGrath","2.5","215","232","Cedar","Aitkin"
"105","Aitkin","5.8","405","1769","Cedar","Aitkin"
"51","Minneapolis","5.5","63","169","Cedar","Hennepin"
"7","Eden Prairie","3","6","6","Cedar Manor","Hennepin"
"8","Cedar Mills","5.8","1924","1924","Cedar","McLeod"
"12","Nicols","7","2","2","Cedar","Hennepin"
"42","Faribault","2","673","804","Cedar","Rice"
"13","New Prague","3.1","780","780","Cedar","Scott"
"20","Biwabik","3","176","185","Cedar Island","St. Louis"
"75","Richmond","2.3","755","998","Cedar Island","Stearns"
"8","Nicols","6","3","3","Cemetery Pond","Hennepin"
"6","Fairhaven","3","3","3","Cemetery Slough","Stearns"
"46","Center City","1.7","608","725","Center (North)","Chisago"
