,URL,ID,Name,Company code,Marketcap,Share price,Earnings,Revenue,Shares,Employees,Category,Hash
1104,https://companiesmarketcap.com/german-american-bancorp/marketcap/,813.0,German American Bancorp,GABC,$1.12 B,$37.99,$91.67 M,$0.24 B,,894.0,Restaurantchains,-8690128616648987675
1105,https://companiesmarketcap.com/german-american-bancorp/marketcap/,813.0,German American Bancorp,GABC,$1.12 B,$37.99,$91.67 M,$0.24 B,,894.0,Food,4721068128442604370
1106,https://companiesmarketcap.com/oceanfirst-financial/marketcap/,814.0,OceanFirst Financial,OCFC,$1.30 B,$22.10,$0.14 B,$0.38 B,,894.0,Food,4721068128442604370
1107,https://companiesmarketcap.com/full-house-resorts/marketcap/,815.0,Full House Resorts,FLL,$0.30 B,$8.83,-$2.74 M,$0.17 B,,893.0,Tech,5392941245537608590
1108,https://companiesmarketcap.com/full-house-resorts/marketcap/,815.0,Full House Resorts,FLL,$0.30 B,$8.83,-$2.74 M,$0.17 B,,893.0,Semiconductors,590283686970277566
1109,https://companiesmarketcap.com/full-house-resorts/marketcap/,815.0,Full House Resorts,FLL,$0.30 B,$8.83,-$2.74 M,$0.17 B,,893.0,TechHardware,-5791872359498690370
1110,https://companiesmarketcap.com/full-house-resorts/marketcap/,815.0,Full House Resorts,FLL,$0.30 B,$8.83,-$2.74 M,$0.17 B,,893.0,Manufacturing,2771886960464485094
1111,https://companiesmarketcap.com/enfusion/marketcap/,816.0,Enfusion,ENFN,$0.75 B,$11.01,-$0.31 B,$0.14 B,,892.0,Airlines,-6287371891685245861
1112,https://companiesmarketcap.com/enfusion/marketcap/,816.0,Enfusion,ENFN,$0.75 B,$11.01,-$0.31 B,$0.14 B,,892.0,Travel,458727220244788973
1113,https://companiesmarketcap.com/enfusion/marketcap/,816.0,Enfusion,ENFN,$0.75 B,$11.01,-$0.31 B,$0.14 B,,892.0,Transportation,-2725400413481745490
1114,https://companiesmarketcap.com/rli/marketcap/,819.0,RLI Corp.,RLI,$6.33 B,$139.64,$0.73 B,$1.66 B,45.378.171,890.0,Banks,-3731527361154377479
1115,https://companiesmarketcap.com/rli/marketcap/,819.0,RLI Corp.,RLI,$6.33 B,$139.64,$0.73 B,$1.66 B,45.378.171,890.0,Financialservices,3247786743286756867
1116,https://companiesmarketcap.com/weave/marketcap/,820.0,Weave Communications,WEAV,$0.34 B,$5.32,-$53.09 M,$0.13 B,,889.0,Internet,-848597773130649638
1117,https://companiesmarketcap.com/weave/marketcap/,820.0,Weave Communications,WEAV,$0.34 B,$5.32,-$53.09 M,$0.13 B,,889.0,Tech,5392941245537608590
1118,https://companiesmarketcap.com/rgp/marketcap/,821.0,RGP,RGP,$0.59 B,$17.64,$94.57 M,$0.82 B,,887.0,Financialservices,3247786743286756867
1119,https://companiesmarketcap.com/doximity/marketcap/,822.0,Doximity,DOCS,$6.29 B,$32.70,$0.11 B,$0.38 B,193.137.000,887.0,Tech,5392941245537608590
1120,https://companiesmarketcap.com/doximity/marketcap/,822.0,Doximity,DOCS,$6.29 B,$32.70,$0.11 B,$0.38 B,193.137.000,887.0,Software,6273975210915946900
1121,https://companiesmarketcap.com/first-financial/marketcap/,826.0,First Financial,THFF,$0.55 B,$46.03,$77.33 M,$0.20 B,,883.0,Construction,6530315917355802760
1122,https://companiesmarketcap.com/first-financial/marketcap/,826.0,First Financial,THFF,$0.55 B,$46.03,$77.33 M,$0.20 B,,883.0,Financialservices,3247786743286756867
1123,https://companiesmarketcap.com/acm-research/marketcap/,829.0,ACM Research,ACMR,$0.64 B,$10.82,$72.28 M,$0.37 B,,877.0,Software,6273975210915946900
1124,https://companiesmarketcap.com/acm-research/marketcap/,829.0,ACM Research,ACMR,$0.64 B,$10.82,$72.28 M,$0.37 B,,877.0,Tech,5392941245537608590
