,URL,ID,Name,Company code,Marketcap,Share price,Earnings,Revenue,Shares,Employees,Category,Hash
934,https://companiesmarketcap.com/cargurus/marketcap/,664.0,CarGurus,CARG,$1.93 B,$16.27,$0.12 B,$1.70 B,,1.203,MediaPress,-6159643471181631199
935,https://companiesmarketcap.com/health-catalyst/marketcap/,667.0,Health Catalyst,HCAT,$0.66 B,$12.12,-$0.15 B,$0.27 B,,1.2,Internet,-848597773130649638
936,https://companiesmarketcap.com/health-catalyst/marketcap/,667.0,Health Catalyst,HCAT,$0.66 B,$12.12,-$0.15 B,$0.27 B,,1.2,Usedcarretailer,-6325853402836694818
937,https://companiesmarketcap.com/health-catalyst/marketcap/,667.0,Health Catalyst,HCAT,$0.66 B,$12.12,-$0.15 B,$0.27 B,,1.2,ECommerce,5458971525214020641
938,https://companiesmarketcap.com/health-catalyst/marketcap/,667.0,Health Catalyst,HCAT,$0.66 B,$12.12,-$0.15 B,$0.27 B,,1.2,Carretail,6786009806407624192
939,https://companiesmarketcap.com/ameresco/marketcap/,668.0,Ameresco,AMRC,$3.09 B,$59.70,$0.14 B,$1.90 B,,1.2,Chemicals,-818748575553705624
940,https://companiesmarketcap.com/new-jersey-resources/marketcap/,669.0,New Jersey Resources,NJR,$4.92 B,$51.09,$0.34 B,$2.90 B,,1.2,Electricity,-800801453892895456
941,https://companiesmarketcap.com/new-jersey-resources/marketcap/,669.0,New Jersey Resources,NJR,$4.92 B,$51.09,$0.34 B,$2.90 B,,1.2,Energy,-2882595272621617431
942,https://companiesmarketcap.com/cboe/marketcap/,670.0,Cboe,CBOE,$13.20 B,$124.49,$0.46 B,$3.82 B,106.200.000,1.196,OilGas,7683904390150838630
943,https://companiesmarketcap.com/cboe/marketcap/,670.0,Cboe,CBOE,$13.20 B,$124.49,$0.46 B,$3.82 B,106.200.000,1.196,Energy,-2882595272621617431
944,https://companiesmarketcap.com/mcgrath-rentcorp/marketcap/,672.0,McGrath RentCorp,MGRC,$2.45 B,$100.74,$0.15 B,$0.69 B,,1.184,Pharmaceuticals,5380718181721596073
945,https://companiesmarketcap.com/mcgrath-rentcorp/marketcap/,672.0,McGrath RentCorp,MGRC,$2.45 B,$100.74,$0.15 B,$0.69 B,,1.184,Biotech,-6437318974046106094
